Average_Salary,Years_Experience,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,Income_Band_Code,Experience_Band_Code,Job_Sector_Code,Labour_Group_Code,Risk_Category_Code,Job_Title_Code,Education_Level_Code
109714,28,0.99,1.04,0.93,0.24,0.76,0.53,0.72,0.06,0.15,0.13,0.69,0.84,0.75,2,4,8,0,2,9,3
97067,12,0.87,0.85,0.46,0.1,0.74,0.18,0.56,0.84,0.09,0.54,0.23,0.34,0.47,1,3,3,1,1,12,0
37561,2,0.65,0.98,0.85,0.74,0.56,0.59,0.56,0.38,0.34,0.9,0.61,0.24,0.5,1,1,2,0,2,2,2
142581,4,0.93,0.51,0.11,0.37,0.49,0.85,0.09,0.81,0.06,0.84,0.05,0.02,0.7,2,1,6,3,0,7,0
39111,5,0.4,1.47,0.65,0.82,0.26,0.17,0.67,0.93,0.56,0.57,0.28,0.77,0.19,1,2,9,1,1,10,1
72101,3,0.43,1.01,0.76,0.11,0.61,0.29,0.58,0.15,0.48,0.53,0.05,0.34,0.13,1,1,12,0,2,14,0
117958,9,0.99,0.82,0.9,0.25,0.68,0.76,0.6,0.47,0.41,0.35,0.93,0.83,0.97,2,2,0,0,2,0,0
97444,23,0.99,0.71,0.14,0.93,0.72,0.05,0.78,0.83,0.75,0.8,0.83,0.19,0.24,1,4,3,1,0,5,0
30077,25,0.91,0.82,0.2,0.68,0.45,0.71,0.9,0.62,0.54,0.44,0.58,0.36,0.39,0,4,3,1,0,5,0
148721,13,0.07,0.73,0.52,0.43,0.33,0.73,0.69,0.17,0.88,0.5,0.74,0.57,1.0,2,3,9,1,1,10,0
127720,0,0.71,1.28,0.74,0.2,0.71,0.49,0.75,0.1,0.54,0.38,0.46,0.6,0.5,2,0,8,0,2,9,0
50103,4,0.49,0.91,0.61,0.01,0.6,0.57,0.72,0.6,0.83,0.96,0.34,0.23,0.42,1,1,3,1,1,12,2
145033,13,0.61,1.41,0.36,0.1,0.26,0.73,0.59,0.1,0.92,0.79,0.02,0.65,0.77,2,3,11,1,1,13,0
95310,25,0.07,0.58,0.08,0.84,0.91,0.12,0.24,0.17,0.19,0.84,0.33,0.31,0.23,1,4,13,3,0,15,1
93374,20,0.38,1.24,0.38,0.79,0.6,0.11,0.41,0.86,0.92,0.47,0.48,0.92,0.59,1,4,5,0,1,6,2
71914,11,0.91,0.75,0.19,0.17,0.03,0.31,0.78,0.28,0.22,0.21,0.52,0.98,0.46,1,3,1,1,0,1,2
132547,21,0.86,1.04,0.37,0.3,0.31,0.4,0.43,0.8,0.35,0.47,0.62,0.38,0.84,2,4,4,2,1,4,3
119106,17,0.29,1.21,0.51,0.53,0.48,0.5,0.77,0.1,0.33,0.08,0.75,0.27,0.9,2,3,9,1,1,10,2
82603,0,0.03,0.66,0.59,0.66,0.03,0.22,0.23,0.67,0.02,0.1,0.8,0.18,0.65,1,0,9,1,1,10,0
131358,7,0.1,0.74,0.88,0.86,0.83,0.4,0.67,0.2,0.29,0.9,0.01,0.09,0.21,2,2,0,0,2,0,1
83394,15,0.18,1.08,0.81,0.89,0.82,0.34,0.26,0.38,0.59,0.27,0.62,0.41,0.55,1,3,0,0,2,0,0
92516,11,0.22,1.47,0.24,0.11,0.57,0.99,0.47,0.18,0.48,0.51,0.74,0.7,0.4,1,3,13,3,0,18,1
53752,21,0.65,0.92,0.35,0.9,0.69,0.68,0.82,0.53,0.82,0.5,0.07,0.41,0.5,1,4,11,1,1,13,2
108411,22,0.11,0.64,0.12,0.27,0.73,0.25,0.63,0.49,0.57,0.84,0.4,0.77,0.42,2,4,3,1,0,5,3
116145,27,0.96,0.68,0.34,0.77,0.07,0.84,0.44,0.92,0.72,0.61,0.95,0.4,0.95,2,4,15,0,1,17,2
124613,4,0.48,0.77,0.52,0.16,0.84,0.85,0.96,0.15,0.62,0.47,0.34,0.35,0.41,2,1,3,1,1,12,0
30060,10,0.6,0.96,0.33,0.08,0.0,0.97,0.01,0.1,0.31,0.81,0.96,0.79,0.69,0,3,16,2,1,19,3
87134,11,0.54,1.37,0.59,0.81,0.66,0.69,0.85,0.25,0.49,0.22,0.99,0.94,0.04,1,3,16,2,1,19,0
67641,15,0.93,0.68,0.84,0.92,0.03,0.7,0.3,0.92,0.97,0.94,0.47,0.86,0.84,1,3,2,0,2,2,3
67265,26,0.83,0.54,0.2,0.23,0.12,0.08,0.7,0.34,0.72,0.07,0.32,0.54,0.79,1,4,1,1,0,1,2
145608,12,0.63,1.39,0.85,0.23,0.02,0.87,0.02,0.87,0.53,0.94,0.8,1.0,0.35,2,3,8,0,2,9,2
59629,16,0.4,0.98,0.55,0.87,0.98,0.77,0.42,0.42,0.74,0.24,0.11,0.35,0.29,1,3,5,0,1,6,0
85619,17,0.23,0.54,0.31,0.99,0.43,0.38,0.68,0.22,0.95,0.79,0.09,0.42,0.88,1,3,3,1,1,12,1
136506,29,0.61,0.67,0.7,0.23,0.94,0.65,0.61,0.51,0.23,0.18,0.22,0.19,0.78,2,4,3,1,1,3,3
148533,4,0.06,1.47,0.27,0.93,0.99,0.17,0.4,0.76,0.7,0.15,0.82,0.22,0.22,2,1,1,1,0,1,0
105758,24,0.59,1.08,0.34,0.88,0.27,0.13,0.89,0.96,0.86,0.81,0.66,0.55,0.09,2,4,4,2,1,4,1
55559,27,0.37,0.76,0.59,0.5,0.08,0.22,0.68,0.08,0.85,0.5,0.48,0.59,0.82,1,4,16,2,1,19,2
31591,7,0.68,1.07,0.41,0.88,0.8,0.66,0.85,0.87,0.71,0.84,0.7,0.68,0.62,1,2,4,2,1,4,2
32469,27,0.16,1.38,0.65,0.03,0.83,0.13,0.34,0.74,0.16,0.82,0.83,0.51,0.01,1,4,4,2,1,4,2
117263,12,0.62,1.48,0.55,0.26,0.63,0.54,0.78,0.11,0.76,0.54,0.96,0.34,0.63,2,3,16,2,1,19,1
121357,4,0.1,1.44,0.87,0.07,0.3,0.71,0.07,0.58,0.35,0.62,0.05,0.87,0.97,2,1,12,0,2,14,2
54860,11,0.75,0.63,0.24,0.02,0.02,0.32,0.49,0.77,0.68,0.45,0.27,1.0,0.43,1,3,13,3,0,18,0
36540,8,0.16,1.29,0.87,0.22,0.08,0.68,0.65,0.27,0.95,0.15,0.43,0.94,0.42,1,2,12,0,2,14,3
58602,19,0.4,0.77,0.95,0.41,0.89,0.23,0.21,0.03,0.65,0.37,0.86,0.47,0.97,1,3,12,0,2,14,0
69341,24,0.87,1.28,0.61,0.84,0.76,0.63,0.13,0.03,0.92,0.62,0.8,0.48,0.12,1,4,10,2,1,11,3
41536,29,0.69,0.93,0.1,0.49,0.06,0.58,0.27,0.8,0.31,0.46,0.01,0.07,0.39,1,4,13,3,0,15,3
113309,14,0.6,0.79,0.58,0.86,0.78,0.04,0.48,0.1,0.24,0.99,0.14,0.5,0.62,2,3,16,2,1,19,2
78787,0,0.56,0.51,0.13,0.52,0.09,0.35,0.03,0.08,0.4,0.13,0.57,0.69,0.8,1,0,3,1,0,5,2
98577,9,0.17,0.6,0.55,0.71,0.03,0.94,0.05,0.54,0.71,0.87,0.71,0.8,0.34,1,2,11,1,1,13,0
54826,6,0.66,1.05,0.85,0.78,0.48,0.04,0.16,0.44,0.72,0.59,0.65,0.48,0.62,1,2,2,0,2,2,2
61890,22,0.47,1.24,0.65,0.43,0.04,0.16,0.02,0.65,0.33,0.54,0.49,0.08,0.4,1,4,16,2,1,19,2
75500,28,0.42,0.7,0.64,0.17,0.96,0.42,0.85,0.63,0.74,0.77,0.5,0.54,0.51,1,4,7,2,1,8,1
95128,3,0.03,0.9,0.85,0.6,0.79,0.66,0.99,0.28,0.36,0.38,0.47,0.84,0.24,1,1,14,0,2,16,3
49975,3,0.91,0.68,0.4,0.97,0.18,0.85,0.49,0.25,0.87,0.45,0.51,0.36,0.59,1,1,9,1,1,10,0
75893,16,0.39,1.47,0.4,0.66,0.33,0.77,0.13,0.97,0.45,0.24,0.07,0.17,0.52,1,3,15,0,1,17,2
106619,29,0.15,0.95,0.54,0.95,0.25,0.36,0.38,0.61,0.36,0.53,0.78,0.71,0.45,2,4,7,2,1,8,0
113310,14,0.56,1.04,0.31,0.99,0.12,0.23,0.05,0.64,0.22,0.18,0.09,0.1,0.58,2,3,7,2,1,8,0
55611,9,0.4,0.98,0.22,0.02,0.32,0.97,0.58,0.25,0.52,0.34,0.53,0.13,0.13,1,2,3,1,0,5,0
108131,15,0.94,1.23,0.74,0.19,0.73,0.16,0.23,0.96,0.26,0.66,0.98,0.37,0.02,2,3,14,0,2,16,1
58625,16,0.83,1.36,0.24,0.11,0.8,0.92,0.6,0.94,0.83,0.67,0.58,0.35,0.16,1,3,1,1,0,1,1
47087,5,0.32,1.37,0.7,0.75,0.09,0.29,0.11,0.65,0.77,0.93,0.44,0.9,0.88,1,2,10,2,1,11,1
143942,18,0.87,0.88,0.77,0.65,0.33,0.63,0.61,0.56,0.38,0.55,0.6,0.55,0.44,2,3,8,0,2,9,1
109973,25,0.59,0.67,0.56,0.76,0.5,0.54,0.95,0.85,0.91,0.81,0.11,0.15,0.53,2,4,5,0,1,6,0
57598,11,0.48,0.89,0.84,0.75,0.72,0.52,0.82,0.43,0.9,0.07,0.95,0.65,0.38,1,3,14,0,2,16,3
75379,20,0.48,0.69,0.09,0.62,0.52,0.67,0.93,0.53,0.58,0.09,0.72,0.4,0.98,1,4,13,3,0,15,1
130441,24,0.52,0.62,0.64,0.8,0.18,0.3,0.79,0.19,0.92,0.42,0.09,0.82,0.37,2,4,7,2,1,8,0
72668,9,0.11,0.5,0.56,0.52,0.59,0.79,0.65,0.17,0.36,0.91,0.77,0.56,0.26,1,2,9,1,1,10,0
140641,23,0.82,0.92,0.57,0.1,0.62,0.45,0.59,0.17,0.74,0.86,0.22,0.1,0.02,2,4,3,1,1,12,2
46014,2,0.61,1.05,0.39,0.39,0.59,0.5,0.99,0.14,0.7,0.4,0.43,0.72,0.69,1,1,16,2,1,19,3
92438,23,0.13,0.6,0.59,0.58,0.27,0.08,0.09,0.89,0.19,0.32,0.23,0.35,0.07,1,4,3,1,1,12,1
102240,27,0.07,1.3,0.11,0.54,0.88,0.65,0.53,0.32,0.33,0.67,0.99,0.66,0.56,2,4,13,3,0,15,0
39686,29,0.33,1.08,0.72,0.96,0.63,0.75,0.17,0.41,0.42,0.82,0.0,0.3,0.98,1,4,14,0,2,16,3
40754,15,0.38,0.62,0.69,0.02,0.74,0.77,0.24,0.67,0.09,0.26,0.79,0.86,0.61,1,3,5,0,1,6,3
40699,5,0.16,0.56,0.73,0.23,0.34,0.38,0.35,0.24,0.51,0.83,0.28,0.94,0.87,1,2,12,0,2,14,1
120373,2,0.79,1.07,0.53,0.39,0.5,0.4,0.54,0.63,0.67,0.53,0.72,0.14,0.21,2,1,7,2,1,8,3
70461,8,0.32,0.52,0.36,0.22,0.96,0.57,0.93,0.58,0.48,0.31,0.61,0.14,0.9,1,2,3,1,1,3,0
103965,28,0.32,1.45,0.63,0.67,0.12,0.48,0.51,0.23,0.08,0.78,0.12,0.59,0.94,2,4,7,2,1,8,0
58179,17,0.28,1.35,0.05,0.02,0.6,0.36,0.39,0.56,0.19,0.21,0.48,0.75,0.62,1,3,1,1,0,1,3
125694,8,0.43,0.67,0.07,0.78,0.27,0.18,0.69,0.62,0.63,0.23,0.23,0.22,0.17,2,2,13,3,0,15,3
128723,27,0.85,1.22,0.62,0.4,0.65,0.35,0.53,0.48,0.18,0.39,0.96,0.25,0.13,2,4,15,0,1,17,0
36548,21,0.79,1.08,0.57,0.19,0.62,0.32,0.83,0.63,0.2,0.06,0.04,0.37,0.27,1,4,4,2,1,4,1
40634,20,0.84,0.6,0.17,0.15,0.32,0.74,0.48,0.38,0.39,0.46,0.79,0.89,0.96,1,4,1,1,0,1,3
62784,23,0.32,1.19,0.48,0.25,0.84,0.04,0.9,0.46,0.64,0.66,0.9,0.64,0.61,1,4,7,2,1,8,2
37099,22,0.52,0.65,0.23,0.51,0.68,0.04,0.08,0.72,0.07,0.07,0.01,0.96,0.74,1,4,13,3,0,18,0
74857,13,0.99,1.47,0.68,0.78,0.35,0.41,0.55,0.83,0.07,0.42,0.08,0.51,0.9,1,3,11,1,1,13,1
91063,7,0.62,0.88,0.38,0.12,0.62,0.77,0.64,0.53,0.04,0.97,0.8,0.29,0.98,1,2,3,1,1,12,2
89765,12,0.58,1.25,0.9,0.66,0.13,0.34,0.93,0.22,0.37,0.43,0.44,0.61,0.94,1,3,0,0,2,0,3
32461,19,0.12,0.7,0.65,0.65,0.29,0.82,0.86,0.85,0.92,0.25,0.76,0.46,0.84,1,3,5,0,1,6,0
53911,13,0.78,1.16,0.09,0.55,0.98,0.94,0.04,0.16,0.13,0.73,0.82,0.21,0.51,1,3,6,3,0,7,2
50567,11,0.73,1.04,0.54,0.51,0.3,0.57,0.69,0.87,0.64,0.76,0.16,0.46,0.01,1,3,4,2,1,4,1
52656,11,0.73,1.49,0.34,0.4,0.8,0.2,0.56,0.73,0.62,0.19,0.36,0.78,0.55,1,3,16,2,1,19,1
77701,9,0.76,0.54,0.24,0.2,0.96,0.37,0.33,0.15,0.31,0.88,1.0,0.37,0.45,1,2,1,1,0,1,1
137539,9,0.89,1.09,0.46,0.41,0.7,0.0,0.62,0.36,0.79,0.09,0.59,0.48,0.64,2,2,11,1,1,13,0
46087,4,0.58,1.06,0.19,0.6,0.68,0.8,0.27,0.83,0.5,0.08,0.06,0.33,0.78,1,1,1,1,0,1,0
67861,20,0.79,1.02,0.48,0.15,0.33,0.43,0.09,0.22,0.6,0.74,1.0,0.93,0.64,1,4,10,2,1,11,3
89792,5,0.64,1.29,0.73,0.41,0.84,0.38,0.57,0.59,0.18,0.36,0.33,0.03,0.02,1,2,2,0,2,2,2
36397,21,0.27,1.02,0.42,0.94,0.26,0.43,0.87,0.84,0.19,0.8,0.46,0.48,0.13,1,4,15,0,1,17,1
49715,29,0.73,1.0,0.47,0.73,0.77,0.16,0.61,0.14,0.75,0.66,0.96,0.07,0.06,1,4,3,1,1,12,2
122573,21,0.26,0.75,0.66,0.25,0.27,0.76,0.45,0.78,0.07,0.49,0.03,0.06,0.91,2,4,10,2,1,11,0
133864,20,0.53,0.91,0.44,0.9,0.02,0.66,0.96,0.56,0.94,0.05,0.42,0.26,0.73,2,4,11,1,1,13,2
48745,20,0.26,1.15,0.38,0.57,0.46,0.97,0.61,0.35,0.11,0.15,0.23,0.25,0.85,1,4,15,0,1,17,2
49446,0,0.52,0.61,0.27,0.72,0.07,0.71,0.54,0.08,0.46,0.48,0.17,0.95,0.85,1,0,13,3,0,15,2
98673,9,0.46,0.91,0.21,0.55,0.06,0.51,0.81,0.46,0.05,0.79,0.2,0.26,0.16,1,2,13,3,0,18,2
93870,3,0.76,1.02,0.75,0.88,0.88,0.87,0.24,0.45,0.98,0.77,0.03,0.07,0.46,1,1,8,0,2,9,3
72951,11,0.54,1.0,0.34,0.66,0.82,0.38,0.78,0.96,0.2,0.52,0.29,0.79,0.58,1,3,4,2,1,4,0
37239,22,0.64,0.7,0.92,0.52,0.45,0.56,0.17,0.61,0.36,0.9,0.17,0.51,0.6,1,4,2,0,2,2,0
149798,7,0.89,1.15,0.74,0.44,0.62,0.08,0.88,0.8,0.51,0.97,0.42,0.98,0.67,2,2,8,0,2,9,3
149052,1,0.17,1.38,0.81,0.16,0.01,0.56,0.53,0.72,0.89,0.08,0.73,0.19,0.86,2,0,0,0,2,0,1
39587,5,0.54,1.21,0.13,0.47,0.82,0.46,0.36,0.49,0.83,0.34,0.17,0.71,0.83,1,2,6,3,0,7,1
120301,0,0.24,0.64,0.44,0.45,0.75,0.65,0.62,0.35,0.84,0.47,0.98,0.63,0.13,2,0,16,2,1,19,2
117969,1,0.31,0.5,0.57,0.17,0.66,0.99,0.07,0.08,0.34,0.87,0.22,0.36,0.07,2,0,7,2,1,8,3
39528,20,0.41,1.26,0.93,0.23,0.81,0.06,0.9,0.65,0.87,0.0,0.17,0.39,0.38,1,4,0,0,2,0,0
95677,3,0.38,0.63,0.15,0.8,0.48,0.02,0.42,0.03,0.97,0.13,0.71,0.97,0.83,1,1,6,3,0,7,2
51778,8,0.84,1.48,0.55,0.56,0.63,0.53,0.64,0.45,0.22,0.12,0.07,0.26,0.05,1,2,7,2,1,8,1
36816,23,0.28,1.32,0.33,0.23,0.73,0.6,0.06,0.88,0.88,0.33,0.34,0.99,0.63,1,4,10,2,1,11,0
53567,28,0.84,0.79,0.16,0.27,0.79,0.57,0.66,0.25,0.22,0.49,0.74,0.53,0.03,1,4,1,1,0,1,1
121170,16,0.06,1.46,0.31,0.69,0.08,0.91,0.46,0.14,0.34,0.16,0.17,0.95,0.45,2,3,10,2,1,11,1
91944,28,0.64,1.18,0.08,0.23,0.79,0.97,0.26,0.27,0.47,0.98,0.27,0.41,0.89,1,4,3,1,0,5,1
123905,16,0.04,1.1,0.93,0.24,0.47,0.45,0.47,0.62,0.47,0.45,0.47,0.59,0.54,2,3,0,0,2,0,1
73056,13,0.05,1.33,0.26,0.28,0.46,0.44,0.22,0.4,0.04,0.28,0.82,0.28,0.82,1,3,6,3,0,7,2
89156,18,0.88,1.07,0.71,0.68,0.04,0.45,0.93,0.17,0.39,0.73,0.88,0.67,0.26,1,3,14,0,2,16,2
102124,15,0.3,1.22,0.68,0.72,0.86,0.0,0.72,0.83,0.04,0.87,0.26,0.67,0.8,2,3,16,2,1,19,3
54995,17,0.09,1.1,0.19,0.9,0.4,0.32,0.75,0.41,0.65,0.65,0.89,0.6,0.5,1,3,13,3,0,15,3
100194,21,0.12,0.65,0.37,0.64,0.74,0.53,0.83,0.99,0.82,0.69,0.53,0.45,0.08,2,4,5,0,1,6,0
97534,25,0.91,1.31,0.39,0.47,0.82,0.07,0.39,0.85,0.4,0.08,0.54,0.86,0.59,1,4,10,2,1,11,0
123547,1,0.38,0.95,0.53,0.76,0.1,0.89,0.01,0.37,0.03,0.39,0.53,0.51,0.17,2,0,9,1,1,10,0
111926,3,0.04,1.26,0.29,0.34,0.52,0.38,0.01,0.39,0.79,0.6,0.1,0.85,0.53,2,1,3,1,0,5,1
107487,19,0.58,1.06,0.34,0.17,0.97,0.23,0.98,0.53,0.14,0.1,0.21,0.93,0.41,2,3,7,2,1,8,1
107362,17,0.31,0.65,0.5,0.13,0.84,0.37,0.37,0.47,0.44,0.99,0.55,0.09,0.61,2,3,7,2,1,8,2
44973,19,0.03,1.47,0.61,0.98,0.48,0.53,0.17,0.25,0.84,0.36,0.83,0.71,0.18,1,3,4,2,1,4,2
30340,13,0.68,0.74,0.26,0.54,0.17,0.58,1.0,0.15,0.82,0.21,0.78,0.73,0.3,0,3,1,1,0,1,2
104965,24,0.79,0.96,0.23,0.15,0.85,0.71,0.91,0.13,0.59,0.6,0.35,0.46,0.04,2,4,13,3,0,15,1
74789,10,0.55,0.56,0.87,0.47,0.03,0.97,0.95,0.51,0.09,0.75,0.49,0.3,0.49,1,3,14,0,2,16,2
88954,0,0.56,0.94,0.85,0.92,0.36,0.73,0.89,0.46,0.44,0.6,0.59,0.81,0.48,1,0,0,0,2,0,0
78456,7,0.85,0.94,0.26,0.89,0.06,0.88,0.45,0.51,0.63,0.93,0.02,0.48,0.69,1,2,6,3,0,7,3
116698,2,0.69,0.63,0.42,0.36,0.8,0.28,0.21,0.96,0.01,1.0,0.68,0.83,0.29,2,1,4,2,1,4,0
40886,2,0.74,1.33,0.6,0.14,0.75,0.77,0.66,0.77,0.85,0.61,0.09,0.49,0.08,1,1,15,0,1,17,0
78511,3,0.41,0.57,0.14,0.11,0.81,0.95,0.07,0.96,0.52,0.3,0.08,0.5,0.79,1,1,3,1,0,5,0
136127,5,0.05,0.57,0.15,0.3,0.23,0.28,0.8,0.93,0.41,0.91,0.32,0.48,0.23,2,2,3,1,0,5,2
45592,29,0.98,1.1,0.79,0.65,0.12,0.89,0.5,0.45,0.59,0.62,0.07,0.68,0.24,1,4,14,0,2,16,1
134859,13,0.82,1.3,0.84,0.52,0.14,0.78,0.27,0.5,0.28,0.13,0.63,0.05,0.75,2,3,0,0,2,0,2
119678,24,0.0,1.01,0.06,0.28,0.71,0.06,0.84,0.0,0.25,0.74,0.32,0.1,0.36,2,4,13,3,0,18,0
62402,8,0.84,0.81,0.62,0.89,0.43,0.91,0.38,0.96,0.09,0.69,0.49,0.39,0.63,1,2,9,1,1,10,2
53478,9,0.14,0.75,0.65,0.18,0.28,0.13,0.68,0.94,0.27,0.48,0.63,1.0,0.1,1,2,5,0,1,6,1
52005,15,0.39,1.37,0.49,0.11,0.63,0.77,0.0,0.86,0.19,0.55,0.42,0.72,0.37,1,3,10,2,1,11,1
82389,10,0.73,1.15,0.9,0.75,0.04,0.39,0.93,0.13,0.74,0.97,0.05,0.68,0.47,1,3,0,0,2,0,1
84336,3,0.09,0.54,0.57,0.82,0.78,0.54,0.1,0.69,0.24,0.91,0.84,0.71,0.95,1,1,15,0,1,17,0
112594,24,0.74,0.83,0.66,0.27,0.72,0.88,0.04,0.4,0.76,0.45,0.27,0.22,0.13,2,4,4,2,1,4,0
